PMID	title	abstract
17126033	Mechanical and morphological properties of the triceps surae muscle-tendon unit in old and young adults and their interaction with a submaximal fatiguing contraction.	The purposes of this study were to examine (a) whether the morphological properties of the muscle gastrocnemius medialis (GM) contribute to the known enhanced muscle fatigue resistance during submaximal sustained isometric plantar flexion contraction of old compared to young adults and (b) whether a submaximal fatiguing contraction differently affects the mechanical properties of the GM tendon and aponeurosis of old and young adults. Fourteen old and 12 young male subjects performed maximal voluntary isometric plantar flexions (MVC) on a dynamometer before and after a submaximal fatiguing task (40% MVC). Moments and EMG signals from the gastrocnemius medialis and lateralis, soleus and tibialis anterior muscles were measured. The elongation of the GM tendon and aponeurosis and the morphological properties of its contractile element were examined by means of ultrasonography. The old adults showed lower maximal ankle joint moment, stiffness and fascicle length in both tested conditions. The submaximal fatiguing contraction did not affect the force-strain relationship of the GM tendon and aponeurosis of either young or old adults. The time to task failure was longer for the old adults and was strongly correlated with the fascicle length (r(2)=0.50, P<0.001). This provides evidence on that the lower ratio of the active muscle volume to muscle force for the old adults might be an additional mechanism contributing to the known age related increase in muscle fatigue resistance.
17134873	Dissimilarity and the classification of male singing voices.	Traditionally, timbre has been defined as that perceptual attribute that differentiates two sounds when pitch and loudness are equal, and thus is a measure of dissimilarity. By such a definition, each voice possesses a set of timbres, and the ability to identify any voice or voice category across different pitch-loudness-vowel combinations must be due to an ability to "link" these timbres by abstracting the "timbre transformation," the manner in which timbre subtly changes across pitch and loudness for a specific voice or voice category. Using stimuli produced across the singing range by singers from different voice categories, this study sought to examine how timbre and pitch interact in the perception of dissimilarity in male singing voices. This study also investigated whether or not listener experience affects the perception of timbre as a function of pitch. The resulting multidimensional scaling (MDS) representations showed that for all stimuli and listeners, dimension 1 correlated with pitch, while dimension 2 correlated with spectral centroid and separated vocal stimuli into the categories baritone and tenor. Dimension 3 appeared highly idiosyncratic depending on the nature of the stimuli and on the experience of the listener. Inexperienced listeners appeared to rely more heavily on pitch in making dissimilarity judgments than did experienced listeners. The resulting MDS representations of dissimilarity across pitch provide a glimpse of the timbre transformation of voice categories across pitch.
17139702	On the exact interval estimation for the difference in paired areas under the ROC curves.	An important measure for comparison of accuracy between two diagnostic procedures is the difference in paired areas under the receiver operating characteristic (ROC) curves. Non-parametric and maximum likelihood methods have been proposed for interval estimation for the difference in paired areas under ROC curves. However, these two methods are asymptotic procedures and their performance in finite sample sizes has not been thoroughly investigated. We propose to use the concept of generalized pivotal quantities (GPQs) to construct an exact confidence interval for the difference in paired areas under ROC curves. A simulation study is conducted to empirically investigate the probability coverage and expected length of the three methods for various combinations of sample sizes, values of the area under the ROC curve and correlations. Simulation results demonstrate that the exact confidence interval based on the concept of GPQs provides not only sufficient probability coverage but also reasonable expected length. Numerical examples using published data sets illustrate the proposed method.
17152085	Investigating divergent mechanisms of mesoderm development in arthropods: the expression of Ph-twist and Ph-mef2 in Parhyale hawaiensis.	The evolution of mesoderm was important for the development of complex body plans as well as key organ systems. Genetic and molecular studies in the fruitfly, Drosophila melanogaster, have provided the majority of information concerning mesoderm development in arthropods. In Drosophila, twist is necessary for the specification and correct morphogenesis of mesoderm and myocyte enhancing factor 2 (mef2) is involved downstream of twist to activate muscle differentiation. In Drosophila, mesoderm is defined by positional cues in the blastoderm embryo, while in another arthropod group, the amphipod crustaceans, cell lineage plays a greater role in defining the mesoderm. It is not known how different mechanistic strategies such as positional information vs. cell-lineage-dependent development affect the timing and use of gene networks. Here we describe the development of the mesoderm in a malacostracan crustacean, Parhyale hawaiensis, and characterize the expression of Parhyale twist and mef2 orthologues. In Parhyale, the mesoderm of the post-mandibular segments arises mainly through the asymmetric division of mesoteloblasts as the germband elongates. Ph-twist expression is seen in a subset of segmental mesoderm during germband development, but not during early cleavages when the specific mesodermal cell lineages first arise. ph-mef2 expression starts after the segmental mesoderm begins to proliferate and persists in developing musculature. While the association of these genes with mesoderm differentiation appears to be conserved across the animal kingdom, the timing of expression and relationship with different mechanisms of mesoderm development may give us greater insight into the ancestral use of these genes during mesoderm differentiation.
17157849	The use of the life course paradigm and life course charts to explore referral for family history of breast cancer.	BACKGROUND: Life course research methodologies are used extensively in historical and social science research. In 1998 the life course paradigm was introduced to provide a way of tracing the interplay of person and setting. The method has had a very limited use in nursing research, but in this study it was utilized as a way of capturing dynamic change by placing the individual within a context of four domains; location in time and place, linked lives, human agency and timing of lives. OBJECTIVE: To describe the paradigm, review its use in healthcare research and provide a specific example of its use in healthcare. DESIGN: This paper discusses a novel method of creating life course charts for a qualitative study exploring the differing experiences of women referred from primary care to specialist services due to a family history of breast cancer. SETTING: A nurse-led breast cancer family history clinic in the UK. PARTICIPANTS: Twenty-two women. METHODS: Life charts were used in conjunction with a grounded theory approach to analyse data collected from semi-structured interviews. FINDINGS: Twenty-two life charts were created and the ability to layer the charts of multiple women to visualise similarities and differences aided the analysis. The life charts were a useful tool in the development of theoretical understandings and the psychosocial process of realisation of risk emerged as central to the initiation of referral. This was often apparent when approaching the age of an affected relative (anticipated onset) or when current circumstances emulate past experience (generational transference). CONCLUSIONS: This approach to charting complex psychological, social and contextual factors throughout the life course was methodologically beneficial and could have a wider utility in nursing and healthcare research. As a research tool it enhanced a holistic approach to patient care issues and was helpful as an aid to understanding health behaviours linked to familial risk.
17161401	Reliability and validity of the Icelandic version of the Problem Area in Diabetes (PAID) Scale.	BACKGROUND: Diabetes is a burdensome disease that increases distress among people with diabetes. OBJECTIVES: To test the validity and reliability of an Icelandic version of the problem area in diabetes scale (PAID) and to assess the hitherto unknown distress level of Icelandic people with insulin requiring diabetes. DESIGN: Methodological research design. SETTING: Diabetes clinics. PARTICIPANTS: People with insulin-dependent diabetes, between 18 and 61 years. METHODS: All instruments were translated using a back-translation technique. Participants answered three consecutive questionnaires in succession, the PAID scale, the diabetes empowerment scale (DES) and the diabetes knowledge test (DKT). Principical component analysis with varimax rotation was conducted on the PAID scale to identify latent factors. RESULTS: Factor analysis revealed two factors: (a) distress in relation to life with diabetes, with Cronbach alpha coefficient of 0.93 and (b) distress in relation to management of diabetes, with Cronbach alpha coefficient of 0.88, for PAID overall Cronbach alpha coefficient was 0.94. PAID showed neither floor nor ceilings effects. Propositions set to indicate validity were generally met. However, PAID's factor structure and predictive validity needs to be tested further. CONCLUSIONS: The Icelandic version of PAID is sufficiently psychometrically robust. PAID is simple to administer and by using the scale clinicians can identify people at risk for developing diabetes-related distress. The results are comparable to results from studies in other countries using the PAID scale.
17161607	Karyotypic similarity among Barycholos ternetzi and five species of the genus Eleutherodactylus from southeastern Brazil (Anura, Brachycephalidae).	Comparative cytogenetic analyses were carried out in six species of Brachycephalidae from southeastern Brazil. Barycholos ternetzi, Eleutherodactylus binotatus, Eleutherodactylus guentheri, Eleutherodactylus juipoca, Eleutherodactylus parvus and Eleutherodactylus sp. have 2n=22 karyotypes with a marked variation in the morphology of chromosome pairs 8, 10 and 11, which are of telocentric or metacentric types, resulting in FN=38, 40 and 44. Eleutherodactylus have a single chromosome pair bearing Ag-NOR, i.e. pair 1 in E. binotatus, pair 6 in E. guentheri and E. parvus, and pair 11 in E. juipoca and Eleutherodactylus sp. In contrast, B. ternetzi showed Ag-positive sites in the chromosome pairs 1, 4, 5, 9 and 11, and only one to three labelings per metaphase in each individual. Nevertheless, the main chromosome pair with Ag-NOR in the species seems to be the 11th, like in E. juipoca and Eleutherodactylus sp. The NOR site was confirmed by fluorescence in situ hybridization (FISH) technique in E. binotatus and in B. ternetzi, bearing 1p1p and 9p11p11p Ag-NOR pattern, respectively. All the species exhibited predominantly centromeric C-banding pattern, but interstitial bands have also been observed in some cases. In E. binotatus, there is an indication of geographical difference in the distribution of the interstitial C-bands. The fluorochromes GC-specific chromomycin A(3) (CMA(3)) and AT-specific 4',6-diamidino-2-phenylindole (DAPI), with distamycin A (DA) counterstaining, provided the molecular content of some repetitive regions in the karyotypes of the species. One male of E. binotatus presented an extensive heteromorphism, involving at least five different pairs, probably as a consequence of multiple reciprocal translocations. Such rearrangements might be responsible for the multivalent chain seen in the meiosis of this specimen, as well as in another male, although not exhibiting chromosome heteromorphism. The remaining males and those belonging to the other species have always shown 11 bivalents in diplotene and metaphase I cells. In all male specimens, metaphases II presented 11 chromosomes. Despite the observed discrepancies, the five species of Eleutherodactylus have a great uniformity in the 2n=22 karyotypes, suggesting an assemblage of species from southeastern and southern Brazil, in contrast to northern and northeastern assemblage which is characterized by higher diploid numbers. Undoubtedly, B. ternetzi could be included in that proposed assemblage, due to its karyotypic similarity with the Eleutherodactylus species, as evidenced in the present study. This fact strongly supports the close relationships of both genera, previously inferred on the basis of several characters shared by their species.
17216358	Mate retention behavior of men and women in heterosexual and homosexual relationships.	Comparing the behavior of heterosexual and homosexual persons can provide insight into the origins of heterosexual sex differences in psychology. Evidence indicates that, aside from sexual partner preference, the mating psychology of homosexual men is sex-typical whereas that of homosexual women tends to be more sex-atypical. The current study examined one aspect of mating psychology, mate retention behavior, and tested whether homosexual men and women were sex-typical or sex-atypical for those mate retention tactics where heterosexual men and women differed. Men and women in heterosexual and homosexual relationships were asked to provide information regarding their partners' mate retention behavior by using the Mate Retention Inventory Questionnaire. Heterosexual men and women differed significantly for six of the 19 mate retention tactics considered. With respect to the six mate retention tactics where heterosexual sex differences existed, homosexual men behaved in a sex-typical manner for five of the tactics, whereas homosexual women behaved in a sex-atypical manner for all six tactics. We discuss the significance of these findings for explaining the origins of the mate retention behavior of heterosexual men and women. In addition, we consider what the pattern of sex-typical and sex-atypical mating psychology among homosexual men and women, respectively, suggests in regard to sex differences in the development of mating psychology and the development of homosexual persons.
17265535	Apolipoprotein E phylogeny and evolution.	Among apolipoproteins, apolipoprotein E (Apo E) plays a pivotal role in lipid transport and is proposed to be involved in neural repair. Because of a long divergence history of apolipoproteins, it is unclear how Apo E evolved in time. To investigate relationships among Apo E proteins, we used the information from molecular data and analysed the phylogeny of Apo E proteins from various species. Several phylogenetic trees were generated by using both character-based and distance-based phylogenetic methods. Apo E sequences of fish and frog were found to be less related to the Apo E sequences of other species. The most likely ancestor of Apo E among 18 organisms was estimated to be the Apo E of frog. Members of the groups formed by the Apo E proteins of various species shared similar feeding habits and diet. It may be suggested that Apo E evolution and very likely the evolution of other apolipoproteins are influenced by the organism's feeding environment and diet.
17275160	Goals and remedial strategies for water quality and wildlife management in a coastal lagoon--a case-study of Ringkøbing Fjord, Denmark.	The aim of this work is (1) to discuss approaches and tools to set management goals using operational indicators for coastal management (i.e., indicators that are easy to measure, understand and predict) and validated predictive models and (2) to discuss remedial strategies for sustainable coastal management regarding water quality and the abundance of fish, waterfowl and large aquatic plants. These approaches are exemplified using data from Ringkøbing Fjord, Denmark, which has undergone two major regime shifts during the last decades. This work discusses the changes taken place during the period from 1980 to 2004 (when there are good empirical data). For Ringkøbing Fjord, which is a very shallow, well-oxygenated lagoon dominated by resuspension processes, we have targeted on the following operational indicators, which are meant to reflect seasonal median values for the entire defined coastal area (the ecosystem scale) and not conditions at individual sites or data from shorter time periods: Secchi depth (as a standard measure of water clarity) and chlorophyll-a concentrations (as a key measure of algal biomass). The operational indicators are regulated by a set of standard abiotic factors, such as salinity, suspended particulate matter (SPM), nutrient concentrations (N and P), coastal morphometry and water exchange. Such relationships are quantified using well-tested, general quantitative models, which illustrate how these indicators are interrelated and how they reflect fundamental aspects of coastal ecosystems. We demonstrate that the regime shift in the lagoon can be modelled and quantitatively explained and is related to changes in salinity and nutrient inflow. A very important threshold is linked to increased salinities in the lagoon. For example, when the mean annual salinity is higher than about 9.5 per thousand, large numbers of saltwater species of clams can survive and influence the structure and function of the ecosystem in profound ways. The model also illustrates the dynamic response to changes in nutrient loading. We have presented several management strategies with the goal of keeping the Secchi depth at 2m, which would stimulate the growth of higher aquatic plants, which are fundamental for fish production and bird abundance in the lagoon. Given the fact that the Secchi depth depends on many variable factors (temperature, TP-inflow from land, salinity, changes in biomasses of macrophytes and clams, which are accounted for in these simulations), our results indicate that in practice it will likely be very difficult to reach that goal. However, it would be realistic to maintain a Secchi depth of 1.5m if the variability in salinity is minimized and the mean salinity is kept at about 10.2%.
17276578	Economic and policy instrument analyses in support of the scrap tire recycling program in Taiwan.	Understanding the cost-effectiveness and the role of economic and policy instruments, such as the combined product tax-recycling subsidy scheme or a tradable permit, for scrap tire recycling has been of crucial importance in a market-oriented environmental management system. Promoting product (tire) stewardship on one hand and improving incentive-based recycling policy on the other hand requires a comprehensive analysis of the interfaces and interactions in the nexus of economic impacts, environmental management, environmental valuation, and cost-benefit analysis. This paper presents an assessment of the interfaces and interactions between the implementation of policy instruments and its associated economic evaluation for sustaining a scrap tire recycling program in Taiwan during the era of the strong economic growth of the late 1990s. It begins with an introduction of the management of the co-evolution between technology metrics of scrap tire recycling and organizational changes for meeting the managerial goals island-wide during the 1990s. The database collected and used for such analysis covers 17 major tire recycling firms and 10 major tire manufacturers at that time. With estimates of scrap tire generation and possible scale of subsidy with respect to differing tire recycling technologies applied, economic analysis eventually leads to identify the associated levels of product tax with respect to various sizes of new tires. It particularly demonstrates a broad perspective of how an integrated econometric and engineering economic analysis can be conducted to assist in implementing policy instruments for scrap tire management. Research findings indicate that different subsidy settings for collection, processing, and end use of scrap tires should be configured to ameliorate the overall managerial effectiveness. Removing the existing boundaries between designated service districts could strengthen the competitiveness of scrap tires recycling industry, helping to reduce the required levels of product tax and subsidy. With such initial breakthroughs at hand to handle the complexity of scrap tire recycling technologies, there remains unique management and policy avenues left to explore if a multi-dimensional solution is to be successful in the long run.
17296273	Induced seasonal reproductive performance in two breeds of sheep.	The objective of the present experiment was to determine whether failure to become pregnant through out-of-season reproductive management regimes is attributable to a failure to stimulate normal corpora lutea (CL) production. Romney ewes and East Friesian Composite (EF) ewes were mated in summer, autumn, winter, and early and late spring after administration of intravaginal progesterone inserts (plus eCG in spring and summer) in a factorial (two breedsxfive mating periods) experimental design. Oestrus rate was determined from mating data, and the numbers of CL were determined by laparoscopy 9 days after ram introduction. Conception rate, pregnancy rate and litter size were determined by transabdominal ultrasonography 62 days after ram introduction. Proportions of ewes displaying oestrus did not differ significantly (75-100%) between seasons or breeds, except for the Romney ewes in summer (67%; P<0.05). Numbers of CL on Day 9 for EF ewes was lowest in autumn (1.5) and winter (1.5), and highest in late spring (2.1; P<0.05). In contrast, Romney ewes had the lowest CL count in summer (1.3), and the highest in autumn (1.8) and winter (1.6; P<0.05). Only in summer was there a difference between breeds (EF 1.8; Romney 1.3; P<0.01). The proportion of ewes that failed to conceive despite having one or more CL present was highest in late spring (EF 41%, Romney 43%), and lowest in autumn (EF 9%, Romney 4%) and winter (EF 14%, Romney 4%; P<0.05). Conception and pregnancy rates followed similar patterns with values for autumn (EF 91%, 91%; Romney 96%, 96%) and June (EF 86%, 82%; Romney 91%, 83%) being significantly (P<0.05) higher than in early (EF 50%, 40%; Romney 54%, 50%) and late spring (EF 44%, 36%; Romney 42%, 36%). Pregnancy rate in summer was higher for EF ewes (60%) than for Romney ewes (39%) but conception rates were not statistically different (EF 68%; Romney 60%). Numbers of foetuses identified at scanning was highest in autumn (1.5) and lowest in late spring (0.5 P<0.001): Litter size in pregnant EF ewes was highest in early spring and lowest in winter (1.8 versus 1.2; P<0.01), but for pregnant Romney ewes was highest in winter and lowest in early spring (1.9 versus 1.3; P<0.001). It was concluded that seasonal differences in the ability of ewes to conceive are not the consequence of failure to display oestrus or to ovulate, but probably are a result of failure of fertilisation or the establishment of pregnancy.
17304254	Glaucoma phenotype in a large Swiss pedigree with the myocilin Gly367Arg mutation.	AIMS: To characterize genotype, phenotype, and age-related penetrance in a Swiss pedigree with juvenile open-angle glaucoma (JOAG). METHODS: In a large Swiss family with history of glaucoma and 82 living members of four generations, we conducted molecular analysis and a detailed phenotype characterization in 52 family members. Mutation analysis was carried out using single-strand conformation polymorphism and DNA sequence analyses of the suspected candidate gene, myocilin (MYOC). RESULTS: We detected a Gly367Arg mutation in the MYOC gene of 13 family members. Nine of them (69.2%) had glaucoma: mean IOP 35.3 mm Hg, range 24-50 mm Hg; mean age at diagnosis 34.9 years, range 28-51 years. Two mutation carriers were glaucoma suspects, one (age 15) was unaffected, and one (age 16) not available for clinical examinations. Age-related glaucoma penetrance was 50% at 30 and 78% at 40. Untreated IOP resulted in rapid disease progression, whereas good IOP control, usually only by means of filtration surgery, could stabilize the disease. None of the wild-type members had glaucoma. CONCLUSIONS: This Swiss family is the largest reported Gly367Arg pedigree to date. The exact genotype and phenotype characterization allowed a reliable risk and prognosis assessment and targeted eye-care planning for the family. The study demonstrates the importance of genetic investigations in glaucoma families, carrying the potential of long-term socio-economic benefits.
